date,symbol,action,price,quantity,cost
2022-03-31,3988.HK,sell,2.2587571144104004,8115.7409848818015,18.33148768831384
2022-03-31,1398.HK,sell,3.499321460723877,5207.210639781662,18.221703942297683
2022-03-31,0883.HK,buy,7.072625160217285,2567.102246640294,18.156151938438462
2022-03-31,0941.HK,buy,40.605934143066406,447.13050743935867,18.156151938438462
2022-03-31,0857.HK,buy,2.9434545040130615,6168.314106328003,18.156151938438462
2022-03-31,3988.HK,buy,2.2587571144104004,8038.116104917165,18.156151938438462
2022-03-31,0005.HK,buy,42.77476501464844,424.45941975884136,18.156151938438462
2022-05-31,0883.HK,sell,8.178956985473633,2567.102246640294,20.99621885258369
2022-05-31,0941.HK,sell,39.810054779052734,447.13050743935867,17.800289994546514
2022-05-31,0857.HK,sell,3.0522027015686035,6168.314106328003,18.82694497945806
2022-05-31,3988.HK,sell,2.2587571144104004,8038.116104917165,18.156151938438462
2022-05-31,0005.HK,sell,41.1174430847168,424.45941975884136,17.452686033706076
2022-05-31,0066.HK,buy,36.75364685058594,505.71799403904754,18.586980558897878
2022-05-31,0883.HK,buy,8.178956985473633,2272.5367784559303,18.586980558897878
2022-05-31,3988.HK,buy,2.2587571144104004,8228.853133573684,18.586980558897878
2022-05-31,0005.HK,buy,41.1174430847168,452.0461187385115,18.586980558897878
2022-05-31,1398.HK,buy,3.426570415496826,5424.368480751886,18.586980558897878
2022-06-30,0066.HK,sell,35.5820426940918,505.71799403904754,17.99447925506785
2022-06-30,0883.HK,sell,7.542454719543457,2272.5367784559303,17.140505750001015
2022-06-30,3988.HK,sell,2.244415760040283,8228.853133573684,18.468967660049646
2022-06-30,0005.HK,sell,40.762306213378906,452.0461187385115,18.42644231458865
2022-06-30,1398.HK,sell,3.39019513130188,5424.368480751886,18.38966761383242
2022-06-30,1211.HK,buy,101.47307586669922,178.11940086488696,18.074323477293685
2022-06-30,3988.HK,buy,2.244415760040283,8053.019319811443,18.074323477293685
2022-06-30,0883.HK,buy,7.542454719543457,2396.344976451873,18.074323477293685
2022-06-30,1299.HK,buy,78.44206237792969,230.4162196834213,18.074323477293685
2022-06-30,0939.HK,buy,4.068459510803223,4442.547217024001,18.074323477293685
2022-08-31,1211.HK,sell,78.26998901367188,178.11940086488696,13.941403548816519
2022-08-31,3988.HK,sell,2.1588261127471924,8053.019319811443,17.385068394066575
2022-08-31,0883.HK,sell,7.746305465698242,2396.344976451873,18.562820188787672
2022-08-31,1299.HK,sell,70.049072265625,230.4162196834213,16.140442423776104
2022-08-31,0939.HK,sell,3.759658098220825,4442.547217024001,16.702458621212674
2022-08-31,0941.HK,buy,41.34272384643555,401.2784260428777,16.589943153423004
2022-08-31,0883.HK,buy,7.746305465698242,2141.658785195815,16.589943153423004
2022-08-31,3988.HK,buy,2.1588261127471924,7684.705616383173,16.589943153423004
2022-08-31,3690.HK,buy,189.8000030517578,87.40749676858005,16.589943153423004
2022-08-31,0066.HK,buy,35.29268264770508,470.067501499543,16.589943153423004
2022-09-30,0941.HK,sell,40.95494842529297,401.2784260428777,16.434337242768795
2022-09-30,0883.HK,sell,7.32846736907959,2141.658785195815,15.695076523010167
2022-09-30,3988.HK,sell,2.01021146774292,7684.705616383173,15.447883356281878
2022-09-30,3690.HK,sell,165.60000610351562,87.40749676858005,14.474681998369878
2022-09-30,0066.HK,sell,31.60997200012207,470.067501499543,14.858820560567894
2022-09-30,0941.HK,buy,40.95494842529297,376.32022970898146,15.412175599125739
2022-09-30,0883.HK,buy,7.32846736907959,2103.055771818414,15.412175599125739
2022-09-30,3988.HK,buy,2.01021146774292,7666.942431897794,15.412175599125739
2022-09-30,0066.HK,buy,31.60997200012207,487.573212626263,15.412175599125739
2022-09-30,1398.HK,buy,2.890096664428711,5332.754363831039,15.412175599125739
2022-10-31,0941.HK,sell,38.77998733520508,376.32022970898146,14.593693742095768
2022-10-31,0883.HK,sell,7.289527416229248,2103.055771818414,15.330282706529491
2022-10-31,3988.HK,sell,1.978924036026001,7666.942431897794,15.172296661310188
2022-10-31,0066.HK,sell,30.294713973999023,487.573212626263,14.770891017896448
2022-10-31,1398.HK,sell,2.678051471710205,5332.754363831039,14.281390672326733
2022-10-31,0883.HK,buy,7.289527416229248,2034.4397589805073,14.830104399755232
2022-10-31,3988.HK,buy,1.978924036026001,7494.024090756145,14.830104399755232
2022-10-31,0941.HK,buy,38.77998733520508,382.41643225840437,14.830104399755232
2022-10-31,0066.HK,buy,30.294713973999023,489.52779063976084,14.830104399755232
2022-10-31,0857.HK,buy,2.390608072280884,6203.486289413304,14.830104399755232
2022-11-30,0883.HK,sell,7.943716049194336,2034.4397589805073,16.161011764532514
2022-11-30,3988.HK,sell,2.1666479110717773,7494.024090756145,16.23691164175838
2022-11-30,0941.HK,sell,42.47331619262695,382.41643225840437,16.242494044567515
2022-11-30,0066.HK,sell,32.92522048950195,489.52779063976084,16.117810442552877
2022-11-30,0857.HK,sell,2.8209176063537598,6203.486289413304,17.499523694580144
2022-11-30,0883.HK,buy,7.943716049194336,2057.0675422596396,16.340760449724648
2022-11-30,0941.HK,buy,42.47331619262695,384.7300355737535,16.340760449724648
2022-11-30,3988.HK,buy,2.1666479110717773,7541.954724725602,16.340760449724648
2022-11-30,2628.HK,buy,10.357682228088379,1577.646435745163,16.340760449724648
2022-11-30,0857.HK,buy,2.8209176063537598,5792.711000462812,16.340760449724648
2023-01-31,0883.HK,sell,8.847118377685547,2057.0675422596396,18.199120057265695
2023-01-31,0941.HK,sell,46.1256103515625,384.7300355737535,17.745907711417736
2023-01-31,3988.HK,sell,2.338728427886963,7541.954724725602,17.63858391655216
2023-01-31,2628.HK,sell,12.57593822479248,1577.646435745163,19.840384116495212
2023-01-31,0857.HK,sell,3.3229453563690186,5792.711000462812,19.248862119775634
2023-01-31,2628.HK,buy,12.57593822479248,1462.4554552822337,18.391749462140137
2023-01-31,0700.HK,buy,372.994384765625,49.30838160927486,18.391749462140137
2023-01-31,2318.HK,buy,50.81230163574219,361.9546619632574,18.391749462140137
2023-01-31,1299.HK,buy,82.12928009033203,223.9365722177461,18.391749462140137
2023-01-31,0005.HK,buy,46.36464309692383,396.67617895155064,18.391749462140137
2023-02-28,2628.HK,sell,11.615277290344238,1462.4554552822337,16.986825637879775
2023-02-28,0700.HK,sell,335.3241271972656,49.30838160927486,16.534290026639795
2023-02-28,2318.HK,sell,44.61772537231445,361.9546619632574,16.149593704705534
2023-02-28,1299.HK,sell,77.21357727050781,223.9365722177461,17.290943822627593
2023-02-28,0005.HK,sell,47.44475555419922,396.67617895155064,18.820204344530108
2023-02-28,0005.HK,buy,47.44475555419922,362.19745447877733,17.18436969009879
2023-02-28,0941.HK,buy,48.2595329284668,356.082387195303,17.18436969009879
2023-02-28,0857.HK,buy,3.2034149169921875,5364.390856440748,17.18436969009879
2023-02-28,2628.HK,buy,11.615277290344238,1479.46271626112,17.18436969009879
2023-02-28,0700.HK,buy,335.3241271972656,51.24704217895275,17.18436969009879
2023-03-31,0005.HK,sell,43.87835693359375,362.19745447877733,15.892629188058866
2023-03-31,0941.HK,sell,52.1990852355957,356.082387195303,18.587174880102015
2023-03-31,0857.HK,sell,3.7054426670074463,5364.390856440748,19.877442761960168
2023-03-31,2628.HK,sell,11.265944480895996,1479.46271626112,16.667544822953364
2023-03-31,0700.HK,sell,376.5076599121094,51.24704217895275,19.29490392821467
2023-03-31,0857.HK,buy,3.7054426670074463,4854.069099957195,17.986474751583824
2023-03-31,0941.HK,buy,52.1990852355957,344.5745202316008,17.986474751583824
2023-03-31,0700.HK,buy,376.5076599121094,47.77186938449678,17.986474751583824
2023-03-31,0005.HK,buy,43.87835693359375,409.91677921771003,17.986474751583824
2023-03-31,2628.HK,buy,11.265944480895996,1596.5350070812115,17.986474751583824
2023-05-31,0857.HK,sell,4.032158851623535,4854.069099957195,19.57237768778469
2023-05-31,0941.HK,sell,52.24013137817383,344.5745202316008,18.00061820647004
2023-05-31,0700.HK,sell,305.27508544921875,47.77186938449678,14.583561508421171
2023-05-31,0005.HK,sell,48.226287841796875,409.91677921771003,19.768764585735582
2023-05-31,2628.HK,sell,11.545411109924316,1596.5350070812115,18.432653008138516
2023-05-31,0941.HK,buy,52.24013137817383,345.1959890781333,18.033083820660345
2023-05-31,0857.HK,buy,4.032158851623535,4472.314827923851,18.033083820660345
2023-05-31,1211.HK,buy,76.3956527709961,236.04855991893135,18.033083820660345
2023-05-31,0005.HK,buy,48.226287841796875,373.9264336458297,18.033083820660345
2023-05-31,3988.HK,buy,2.4013030529022217,7509.707614316114,18.033083820660345
2023-06-30,0941.HK,sell,54.396820068359375,345.1959890781333,18.77756410620257
2023-06-30,0857.HK,sell,4.510117530822754,4472.314827923851,20.170665508777912
2023-06-30,1211.HK,sell,81.19096374511719,236.04855991893135,19.165010070465076
2023-06-30,0005.HK,sell,50.98446273803711,373.9264336458297,19.064438322982912
2023-06-30,3988.HK,sell,2.4560558795928955,7509.707614316114,18.44426154016463
2023-06-30,0857.HK,buy,4.510117530822754,4220.405117391584,19.034523107121846
2023-06-30,0005.HK,buy,50.98446273803711,373.3396820306411,19.034523107121846
2023-06-30,0941.HK,buy,54.396820068359375,349.9197762516549,19.034523107121846
2023-06-30,3988.HK,buy,2.4560558795928955,7750.036660516421,19.034523107121846
2023-06-30,1211.HK,buy,81.19096374511719,234.44139876054345,19.034523107121846
2023-07-31,0857.HK,sell,4.734791278839111,4220.405117391584,19.982737342993627
2023-07-31,0005.HK,sell,54.49486541748047,373.3396820306411,20.345095727264734
2023-07-31,0941.HK,sell,54.43928527832031,349.9197762516549,19.049382523889857
2023-07-31,3988.HK,sell,2.460442543029785,7750.036660516421,19.068519909575087
2023-07-31,1211.HK,sell,89.50491333007812,234.44139876054345,20.983657077044725
2023-07-31,0005.HK,buy,54.49486541748047,363.45325770465286,19.806336364159904
2023-07-31,0857.HK,buy,4.734791278839111,4183.148780534223,19.806336364159904
2023-07-31,0941.HK,buy,54.43928527832031,363.824327650523,19.806336364159904
2023-07-31,1211.HK,buy,89.50491333007812,221.2876994932968,19.806336364159904
2023-07-31,0883.HK,buy,10.43899154663086,1897.3419295997337,19.806336364159904
2023-08-31,0005.HK,sell,49.798309326171875,363.45325770465286,18.099357752781167
2023-08-31,0857.HK,sell,4.709827899932861,4183.148780534223,19.70191083613021
2023-08-31,0941.HK,sell,56.987144470214844,363.824327650523,20.733309521599136
2023-08-31,1211.HK,sell,79.82695007324219,221.2876994932968,17.664722139274026
2023-08-31,0883.HK,sell,11.102838516235352,1897.3419295997337,21.06588105442823
2023-08-31,0883.HK,buy,11.102838516235352,1750.3096017831635,19.43340486201467
2023-08-31,0941.HK,buy,56.987144470214844,341.0138381678664,19.43340486201467
2023-08-31,0857.HK,buy,4.709827899932861,4126.1390596228985,19.43340486201467
2023-08-31,1810.HK,buy,12.359999656677246,1572.2819904380947,19.43340486201467
2023-08-31,0388.HK,buy,285.7921447753906,67.99838700006168,19.43340486201467
2023-10-31,0883.HK,sell,10.984908103942871,1750.3096017831635,19.226990129036896
2023-10-31,0941.HK,sell,54.59028244018555,341.0138381678664,18.616041741595552
2023-10-31,0857.HK,sell,4.412291526794434,4126.1390596228985,18.205728411149668
2023-10-31,1810.HK,sell,14.020000457763672,1572.2819904380947,22.043394225675662
2023-10-31,0388.HK,sell,258.529052734375,67.99838700006168,17.579558578591385
2023-10-31,0883.HK,buy,10.984908103942871,1739.9013435974582,19.11265636934481
2023-10-31,0941.HK,buy,54.59028244018555,350.11096325223275,19.11265636934481
2023-10-31,1810.HK,buy,14.020000457763672,1363.2422072255386,19.11265636934481
2023-10-31,0005.HK,buy,47.51359939575195,402.2565457554793,19.11265636934481
2023-10-31,3988.HK,buy,2.332738161087036,8193.228322049858,19.11265636934481
2023-11-30,0883.HK,sell,11.314108848571777,1739.9013435974582,19.685433187237926
2023-11-30,0941.HK,sell,55.779903411865234,350.11096325223275,19.52915571364464
2023-11-30,1810.HK,sell,15.619999885559082,1363.2422072255386,21.293843120852223
2023-11-30,0005.HK,sell,50.77403259277344,402.2565457554793,20.424186964845166
2023-11-30,3988.HK,sell,2.4434151649475098,8193.228322049858,20.01945833197406
2023-11-30,1810.HK,buy,15.619999885559082,1286.7599064026306,20.099189590751106
2023-11-30,0883.HK,buy,11.314108848571777,1776.4712943599002,20.099189590751106
2023-11-30,0941.HK,buy,55.779903411865234,360.3303046680375,20.099189590751106
2023-11-30,1398.HK,buy,3.192996025085449,6294.774385199312,20.099189590751106
2023-11-30,0939.HK,buy,3.8111040592193604,5273.849592778656,20.099189590751106
2024-01-31,1810.HK,sell,12.319999694824219,1286.7599064026306,15.85288165419245
2024-01-31,0883.HK,sell,12.52695369720459,1776.4712943599002,22.25377364885958
2024-01-31,0941.HK,sell,58.55567932128906,360.3303046680375,21.099385769883995
2024-01-31,1398.HK,sell,3.2612955570220947,6294.774385199312,20.529119734907002
2024-01-31,0939.HK,sell,3.9122836589813232,5273.849592778656,20.632795581753243
2024-01-31,0941.HK,buy,58.55567932128906,342.182129623947,20.036707051735608
2024-01-31,0883.HK,buy,12.52695369720459,1599.4875957916913,20.036707051735608
2024-01-31,0857.HK,buy,4.888127326965332,4099.0558779439325,20.036707051735608
2024-01-31,3988.HK,buy,2.5030107498168945,8005.042348779914,20.036707051735608
2024-01-31,0939.HK,buy,3.9122836589813232,5121.486272023728,20.036707051735608
2024-02-29,0941.HK,sell,57.9828987121582,342.182129623947,19.840711763095907
2024-02-29,0883.HK,sell,13.930386543273926,1599.4875957916913,22.28148048055014
2024-02-29,0857.HK,sell,5.338007926940918,4099.0558779439325,21.880792769438475
2024-02-29,3988.HK,sell,2.622201442718506,8005.042348779914,20.990833595993426
2024-02-29,0939.HK,sell,4.114643096923828,5121.486272023728,21.073088135172583
2024-02-29,0883.HK,buy,13.930386543273926,1515.77703780295,21.115360050013827
2024-02-29,0941.HK,buy,57.9828987121582,364.16530596091485,21.115360050013827
2024-02-29,3988.HK,buy,2.622201442718506,8052.531627060266,21.115360050013827
2024-02-29,1398.HK,buy,3.4491188526153564,6121.95779626519,21.115360050013827
2024-02-29,0939.HK,buy,4.114643096923828,5131.759803371525,21.115360050013827
2024-04-30,0883.HK,sell,17.58624839782715,1515.77703780295,26.65683150252531
2024-04-30,0941.HK,sell,61.59580993652344,364.16530596091485,22.431056971444416
2024-04-30,3988.HK,sell,3.0053155422210693,8052.531627060266,24.20039845303093
2024-04-30,1398.HK,sell,3.6113297939300537,6121.95779626519,22.108408586834855
