date,action,price,position,pnl,capital,strength
2024-02-27,take_profit,56224.79157366071,0.5570293136012283,2449.868541506479,146794.81112221582,
2024-02-27,open_long,57085.37109375,0.5142992269635528,0.0,146794.81112221582,1.0
2024-02-28,take_profit,62048.06752232143,0.5142992269635528,2552.3109368690693,149347.12205908488,
2024-02-28,open_long,62504.7890625,0.4778741734805287,0.0,149347.12205908488,1.0
2024-03-04,take_profit,68421.09291294643,0.4778741734805287,2827.2488125917594,152174.37087167666,
2024-03-04,open_long,68330.4140625,0.4454074308183961,0.0,152174.37087167666,1.0
2024-03-05,stop_loss,63182.70424107143,0.4454074308183961,-2292.8282061611253,149881.54266551553,
2024-03-11,open_long,72123.90625,0.39354559312691423,0.0,149881.54266551553,1.0
2024-03-19,stop_loss,64506.92131696428,0.39354559312691423,-2997.6308533103106,146883.91181220522,
2024-05-17,open_long,67051.875,0.43812022202870604,0.0,146883.91181220522,1.0
2024-06-24,stop_loss,62360.88727678572,0.43812022202870604,-2055.2165828285756,144828.69522937664,
2024-06-24,open_short,60277.4140625,-0.4805405058657883,0.0,144828.69522937664,1.0
2024-07-05,take_profit,54307.50111607143,-0.4805405058657883,2868.784987251505,147697.48021662814,
2024-07-05,open_short,56662.375,-0.5213247069739952,0.0,147697.48021662814,1.0
2024-07-14,stop_loss,60964.2265625,-0.5213247069739952,-2242.6615052659363,145454.8187113622,
2024-08-04,open_short,58116.9765625,-0.5005587947436928,0.0,145454.8187113622,1.0
2024-08-05,take_profit,50319.83677455357,-0.5005587947436928,3902.926894702556,149357.74560606477,
2024-08-05,open_short,53991.45703125,-0.47886994557175405,0.0,149357.74560606477,1.0
2024-08-08,stop_loss,60229.38225446428,-0.47886994557175405,-2987.154912121295,146370.59069394346,
2024-09-06,open_short,53948.75390625,-0.5426282540215868,0.0,146370.59069394346,1.0
2024-09-13,stop_loss,58610.45200892857,-0.5426282540215868,-2529.5691022322176,143841.02159171124,
2024-09-26,open_long,65181.01953125,0.4413586121424473,0.0,143841.02159171124,1.0
2024-10-01,stop_loss,61033.19866071428,0.4413586121424473,-1830.6764628351218,142010.34512887613,
2024-10-15,open_long,67041.109375,0.42365153695333263,0.0,142010.34512887613,1.0
2024-10-29,take_profit,73176.671875,0.42365153695333263,2599.340483198232,144609.68561207436,
2024-10-29,open_long,72720.4921875,0.39771371524608984,0.0,144609.68561207436,1.0
2024-11-01,stop_loss,68854.671875,0.39771371524608984,-1537.4897589581751,143072.1958531162,
2024-11-06,open_long,75639.078125,0.3783023257281831,0.0,143072.1958531162,1.0
2024-11-11,take_profit,83634.50753348214,0.3783023257281831,3024.689540424307,146096.8853935405,
