date,equity,hk_weight,btc_weight,hk_return,btc_return,portfolio_return
2022-04-12,104834.79890732226,0.2,0.2,-0.008486830729047767,0.0,-0.0016973661458095535
2022-04-13,105134.21012075647,0.2,0.2,0.01428014440600478,0.0,0.002856028881200956
2022-04-14,105192.54559952347,0.2,0.2,0.002774333811040197,0.0,0.0005548667622080394
2022-04-19,105278.97301366575,0.2,0.2,0.004108057926048847,0.0,0.0008216115852097694
2022-04-20,105019.28892937687,0.2,0.2,-0.01233314102784655,0.0,-0.00246662820556931
2022-04-21,104866.43080254445,0.2,0.2,-0.007277621491763031,0.0,-0.0014555242983526062
2022-04-22,104824.219295131,0.2,0.2,-0.0020126320258258,0.0,-0.00040252640516516005
2022-04-25,103974.14608190999,0.2,0.2,-0.040547557565282055,0.0,-0.008109511513056411
2022-04-26,103535.24934844574,0.2,0.2,-0.021106051360041622,0.0,-0.004221210272008324
2022-04-27,103558.32445230262,0.2,0.2,0.007010136316818905,-0.005895776521381957,0.0002228719590873895
2022-04-28,103895.4462342286,0.2,0.2,0.01908856235326084,-0.0028116583134877304,0.003255380807954622
2022-04-29,104165.70164554397,0.2,0.2,0.006845121879429872,0.006161002118829861,0.0026012247996519467
2022-05-03,104328.76653876332,0.2,0.2,0.003306440609844419,0.004520746777334939,0.0015654374774358715
2022-05-04,104174.51496729485,0.2,0.2,0.002808392067454646,-0.010200963483084413,-0.0014785142831259535
2022-05-05,104565.92677115838,0.2,0.2,0.002261881297950019,0.016524469854556356,0.0037572702305012752
2022-05-06,104348.62417517294,0.2,0.2,-0.013171210246765708,0.0027805121151929235,-0.0020781396263145568
2022-05-10,104113.83892900964,0.2,0.2,-0.019434243534933393,0.008184203200469309,-0.002250008066892817
2022-05-11,104317.15867042444,0.2,0.2,-0.0018415289846137606,0.011605828500715454,0.0019528599032203385
2022-05-12,104022.47328099735,0.2,0.2,-0.01351199093425115,-0.0006125017754337048,-0.002824898541936971
2022-05-13,104282.80604408373,0.2,0.2,0.013808142983199767,-0.0012948487461391656,0.0025026588474121206
2022-05-16,104186.91183286294,0.2,0.2,-0.0014036576895672948,-0.003194138191579654,-0.0009195591762293897
2022-05-17,104446.63230492664,0.2,0.2,0.015575273081243513,-0.003111112876536648,0.002492832040941373
2022-05-18,104768.61474793672,0.2,0.2,0.005958307872086399,0.009455422370075572,0.0030827460484323943
2022-05-19,104384.4800366471,0.2,0.2,-0.009578145258600013,-0.008754382675162042,-0.003666505586752411
2022-05-20,104872.71403470048,0.2,0.2,0.017216607607689394,0.006169723285656792,0.004677266178669238
2022-05-23,104993.14807985975,0.2,0.2,0.005181198139338372,0.0005607170131296524,0.001148383030493605
2022-05-24,104987.44264669287,0.2,0.2,0.0027918560014179583,-0.0030635610255658197,-5.434100482957225e-05
2022-05-25,105326.96210140311,0.2,0.2,0.01565490608682918,0.0005146207704358474,0.0032339053714530055
2022-05-26,105421.69584895356,0.2,0.2,0.0028687441812558223,0.0016283829389232007,0.0008994254240358047
2022-05-27,105857.09948746226,0.2,0.2,0.017127110784437516,0.0035234600018896334,0.0041301141572654305
